einhvern	fokeo
dyr	nvfo
.	.

hann	fpken
lætur	sfg3en
samt	aa
ekki	aa
deigan	lkeosf
síga	sng
heldur	c
fer	sfg3en
daginn	nkeog
eftir	aa
í	ao
sundlaugarnar	nvfog
,	,
og	c
læðist	sfm3en
upp	aa
að	aþ
konunni	nveþg
aftan	aa
frá	aa
meðan	c
hún	fpven
er	sfg3en
niðursokkin	lvensf
í	ao
að	cn
hella	sng
sér	fpveþ
yfir	ao
litla	lveosf
fimm	tfhfe
ára	nhfe
stelpu	nveo
sem	ct
hún	fpven
kallar	sfg3en
foraðssnift	nveo
.	.

þar	aa
stingur	sfg3en
hann	fpken
títuprjóni	nkeþ
í	ao
bakið	nheog
á	aþ
henni	fpveþ
og	c
hleypur	sfg3en
burt	aa
.	.

svona	aa
gengur	sfg3en
þetta	fahen
þangað	aa
til	aa
þau	fphfn
giftast	sfm3fn
.	.

ég	fp1en
ákvað	sfg1eþ
að	cn
pækla	sng
hugmyndina	nveog
.	.

hún	fpven
var	sfg3eþ
athyglisverð	lvensf
.	.

ég	fp1en
leit	sfg1eþ
upp	aa
.	.

konan	nveng
sem	ct
hafði	sfg3eþ
verið	ssg
kennari	nken
og	c
átti	sfg3eþ
bókhneigðan	lkeosf
mann	nkeo
var	sfg3eþ
hætt	sþgven
að	cn
tala	sng
um	ao
að	c
allt	fohen
væri	svg3eþ
afskaplega	aa
eitthvað	fohen
.	.

það	fphen
var	sfg3eþ
þögn	nven
.	.

enn	aa
voru	sfg3fþ
tíu	tfvfn
mínútur	nvfn
eftir	aa
af	aþ
tímanum	nkeþg
.	.

ég	fp1en
slúttaði	sfg1eþ
kallinum	nkeþg
með	aþ
því	fpheþ
að	cn
gera	sng
hann	fpkeo
rangeygan	lkeosf
og	c
fór	sfg1eþ
að	cn
skoða	sng
hina	fakfo
nemendurna	nkfog
.	.

þeir	fpkfn
voru	sfg3fþ
allir	fokfn
að	cn
skoða	sng
hina	fakfo
nemendurna	nkfog
.	.

ég	fp1en
ákvað	sfg1eþ
að	cn
fara	sng
þá	aa
að	cn
horfa	sng
út	aa
um	ao
gluggann	nkeog
en	c
um	ao
leið	nveo
og	c
ég	fp1en
sá	sfg1eþ
mannautt	lheosf
bílastæðið	nheog
vissi	sfg1eþ
ég	fp1en
að	c
ég	fp1en
yrði	svg1eþ
að	cn
líta	sng
aftur	aa
á	ao
eina	foveo
stelpuna	nveog
sem	ct
sat	sfg3eþ
hinum	fahfþ
megin	aa
í	aþ
stofunni	nveþg
.	.

ég	fp1en
leit	sfg1eþ
aftur	aa
á	ao
hana	fpveo
.	.

ég	fp1en
leit	sfg1eþ
aftur	aa
út	aa
um	ao
gluggann	nkeog
.	.

ég	fp1en
leit	sfg1eþ
aftur	aa
á	ao
hana	fpveo
.	.

ég	fp1en
leit	sfg1eþ
aftur	aa
á	ao
hana	fpveo
.	.

ég	fp1en
horfði	sfg1eþ
á	ao
hana	fpveo
.	.

ég	fp1en
hafði	sfg1eþ
aldrei	aa
séð	ssg
neinn	fokeo
hnykla	sng
svona	aa
brýnnar	nvfog
,	,
það	fphen
mynduðust	sfm3fþ
svo	aa
sniðugar	lvfnsf
hrukkur	nvfn
yfir	aþ
augunum	nhfþg
og	c
frítt	lhensf
andlitið	nheng
varð	sfg3eþ
svo	aa
gáfulegt	lhensf
,	,
kannski	aa
vegna	ae
þess	fphee
að	c
þykkar	lvfnsf
varirnar	nvfng
voru	sfg3fþ
í	aþ
ofurlitlum	lkeþsf
vanþóknunarboga	nkeþ
.	.

hún	fpven
var	sfg3eþ
með	ao
langan	lkeosf
og	c
hvítan	lkeosf
háls	nkeo
og	c
hárið	nheng
var	sfg3eþ
dökkt	lhensf
og	c
hrokkið	lhensf
og	c
óreiðan	nveng
í	aþ
því	fpheþ
var	sfg3eþ
greinilega	aa
ekki	aa
hönnuð	sþgven
á	aþ
einhverri	foveþ
stofu	nveþ
heldur	c
hafði	sfg3eþ
hún	fpven
legið	ssg
svona	aa
á	aþ
svæflinum	nkeþg
sínum	fekeþ
og	c
þegar	c
mér	fp1eþ
datt	sfg3eþ
það	fphen
í	ao
hug	nkeo
langaði	sfg3eþ
mig	fp1eo
strax	aa
að	cn
sjá	sng
herbergið	nheog
sem	ct
hún	fpven
svaf	sfg3eþ
í	ao
,	,
myndirnar	nvfog
á	aþ
veggjunum	nkfþg
,	,
litla	lheovf
skrautdraslið	nheog
í	aþ
gluggakistunni	nveþg
,	,
bækurnar	nvfog
,	,
stólana	nkfog
,	,
fatabinginn	nkeog
,	,
mig	fp1eo
langaði	sfg3eþ
að	cn
finna	sng
lyktina	nveog
í	aþ
herberginu	nheþg
,	,
ég	fp1en
vildi	sfg1eþ
skynja	sng
ilminn	nkeog
af	aþ
tilveru	nveþ
hennar	fpvee
.	.

Grímsstaðaholtið	nhengs
!	!

þarna	aa
var	sfg3eþ
það	fphen
!	!

eða	c
hvað	fshen
?	?

þarna	aa
stóðu	sfg3fþ
eintóm	lhfnsf
fjölbýlishús	nhfn
!	!

snögg	lvensf
eftirvæntingin	nveng
sem	ct
hafði	sfg3eþ
gripið	ssg
hana	fpveo
breyttist	sfm3eþ
í	ao
vonbrigði	nhfo
.	.

tilfinningar	nvfn
toguðust	sfm3fþ
á	aa
,	,
svo	aa
hjaðnaði	sfg3eþ
í	aþ
huga	nkeþ
hennar	fpvee
og	c
með	aþ
vissum	lkeþsf
létti	nkeþ
hugsaði	sfg3eþ
hún	fpven
:	:

já	au
,	,
jæja	au
,	,
kannski	aa
eins	aa
gott	lhensf
.	.

það	fphen
var	sfg3eþ
ekki	aa
fyrr	aam
en	c
hún	fpven
stóð	sfg3eþ
við	ao
austurgluggana	nkfog
sem	c
hún	fpven
sá	sfg3eþ
gamalkunnugt	lheosf
umhverfi	nheo
:	:
máluð	lhfosf
bárujárnsþök	nhfo
í	aþ
röðum	nvfþ
upp	aa
af	aþ
Kvosinni	nveþgs
.	.

og	c
Tjörnina	nveogs
!	!

hún	fpven
renndi	sfg3eþ
augunum	nhfþg
hvatlega	aa
yfir	ao
húsaröðina	nveog
við	ao
Tjarnarendann	nkeogs
og	c
taldi	sfg3eþ
sér	fpveþ
trú	nveo
um	ao
að	c
hún	fpven
væri	svg3eþ
ekki	aa
að	cn
leita	sng
að	aþ
neinu	foheþ
sérstöku	lheþsf
þegar	c
Teddi	nken-s
,	,
sem	ct
hafði	sfg3eþ
gengið	ssg
frá	aþ
einum	fokeþ
glugga	nkeþ
til	ae
annars	fokee
milli	ae
Snæfellsjökuls	nkee-s
í	aþ
vestri	nheþ
og	c
sjávar	nkee
í	aþ
suðri	nheþ
,	,
stóð	sfg3eþ
við	ao
hliðina	nveog
á	aþ
henni	fpveþ
.	.

þekkirðu	sfg2en
þig	fp2eo
aftur	aa
?	?
spurði	sfg3eþ
hann	fpken
.	.

nei	au
,	,
svaraði	sfg3eþ
hún	fpven
,	,
og	c
taldi	sfg3eþ
sig	fpveo
vera	sng
að	cn
segja	sng
satt	lheosf
því	fpheþ
að	c
úr	aþ
þessari	faveþ
hæð	nveþ
og	c
úr	aþ
þessum	fakeþ
tíma	nkeþ
greindi	sfg3eþ
hún	fpven
ekki	aa
húsaskil	nhfo
.	.

-	-
það	fphen
er	sfg3en
allt	fohen
breytt	lhensf
.	.

-	-
nema	c
Tjörnin	nvengs
auðvitað	aa
.	.

þarna	aa
niðri	aa
.	.

við	fp1fn
vorum	sfg1fþ
á	aþ
skautum	nkfþ
þarna	aa
á	ao
veturna	nkfog
.	.

óttalega	aa
kalt	lhensf
.	.

og	c
svellið	nheng
úfið	lhensf
.	.

hún	fpven
stóð	sfg3eþ
kyrr	lvensf
við	ao
gluggann	nkeog
og	c
hugsanirnar	nvfng
sem	ct
hún	fpven
hafði	sfg3eþ
ætlað	ssg
að	cn
dylja	sng
brutust	sfm3fþ
út	aa
í	aþ
hálfum	lhfþsf
hljóðum	nhfþ
:	:

hugsaðu	sbg2en
þér	fp2eþ
,	,
á	aþ
hverjum	fokeþ
einasta	lkeþvf
degi	nkeþ
gekk	sfg1eþ
ég	fp1en
meðfram	aþ
Tjörninni	nveþgs
.	.

eða	c
yfir	ao
hana	fpveo
.	.

-	-
Tjörnin	nvengs
var	sfg3eþ
eiginlega	aa
hluti	nken
af	aþ
skólanum	nkeþg
.	.

sérðu	sfg2en
skólann	nkeog
?	?
spurði	sfg3eþ
Teddi	nken-s
.	.

nei	au
,	,
sagði	sfg3eþ
hún	fpven
.	.

-	-
hann	fpken
var	sfg3eþ
gulur	lkensf
.	.

kannski	aa
er	sfg3en
búið	lhensf
að	cn
rífa	sng
hann	fpkeo
líka	aa
.	.

þegar	c
þau	fphfn
voru	sfg3fþ
sest	sþmhfn
að	aþ
ljúffengum	lkeþsf
fiskrétti	nkeþ
fann	sfg3eþ
hún	fpven
loks	aa
fyrir	aþ
þægilegri	lveþsf
þreytu	nveþ
.	.

hún	fpven
var	sfg3eþ
orðin	sþgven
dösuð	lvensf
af	aþ
svefnleysi	nheþ
og	c
auk	ae
þess	fphee
rænd	sþgven
hálfri	lveþsf
nóttinni	nveþg
,	,
líkaminn	nkeng
eins	aa
og	c
stríðsvöllur	nken
tveggja	tfkfe
tíma	nkfe
sem	ct
toguðust	sfm3fþ
á	aa
og	c
Teddi	nken-s
sagði	sfg3eþ
að	c
þau	fphfn
skyldu	svg3fþ
fara	sng
í	ao
könnunarferð	nveo
á	ao
morgun	nkeo
þegar	c
þau	fphfn
væru	svg3fþ
úthvíld	lhfnsf
.	.

þá	aa
sagði	sfg3eþ
hún	fpven
honum	fpkeþ
að	c
húsið	nheng
hennar	fpvee
væri	svg3eþ
horfið	sþghen
og	c
hann	fpken
sagði	sfg3eþ
að	c
þau	fphfn
yrðu	svg3fþ
nú	aa
að	cn
leita	sng
betur	aam
og	c
hún	fpven
kinkaði	sfg3eþ
kolli	nkeþ
,	,
minnug	lvensf
fjölbýlishúsanna	nhfeg
sem	ct
tíminn	nkeng
hafði	sfg3eþ
byggt	ssg
eins	aa
og	c
varnarmúr	nkeo
milli	ae
hennar	fpvee
og	c
fortíðarinnar	nveeg
,	,
og	c
Teddi	nken-s
sem	ct
hafði	sfg3eþ
lesið	ssg
ferðabæklinga	nkfo
sagði	sfg3eþ
að	c
þau	fphfn
skyldu	svg3fþ
fara	sng
í	ao
einhverja	foveo
af	aþ
þessum	favfþ
útisundlaugum	nvfþ
á	ao
morgun	nkeo
og	c
synda	sng
í	aþ
heita	lheþvf
vatninu	nheþg
úr	aþ
iðrum	nhfþ
jarðar	nvee
og	c
svo	aa
væru	svg3fþ
handritin	nhfng
hérna	aa
rétt	aa
hjá	aa
og	c
hún	fpven
fann	sfg3eþ
hvítvínið	nheog
stíga	sng
sér	fpveþ
til	ae
höfuðs	nhee
og	c
sagði	sfg3eþ
að	c
Grímsstaðaholtið	nhengs
væri	svg3eþ
hérna	aa
rétt	aa
hjá	aa
,	,
auðvitað	aa
ættu	svg3fþ
þau	fphfn
að	cn
leita	sng
betur	aam
,	,
og	c
hugsaði	sfg3eþ
um	ao
hvort	c
hún	fpven
hefði	svg3eþ
nokkurn	fokeo
tíma	nkeo
setið	ssg
hér	aa
í	aþ
glæstum	lkeþsf
matsal	nkeþ
sparibúin	lvensf
ef	c
hún	fpven
hefði	svg3eþ
verið	ssg
hér	aa
kyrr	lvensf
og	c
með	aþ
svona	aa
myndarlegum	lkeþsf
manni	nkeþ
...	...

og	c
úr	aþ
því	fpheþ
Grímsstaðaholtið	nhengs
var	sfg3eþ
þarna	aa
rétt	aa
hjá	aa
ákváðu	sfg3fþ
þau	fphfn
morguninn	nkeog
eftir	aa
að	cn
ganga	sng
þangað	aa
áður	aa
en	c
þau	fphfn
færu	svg3fþ
í	ao
sundlaugina	nveog
.	.

og	c
grunur	nken
hennar	fpvee
varð	sfg3eþ
að	aþ
vissu	nveþ
.	.

hún	fpven
gat	sfg3eþ
ekki	aa
einu	foheþ
sinni	nheþ
áttað	ssg
sig	fpveo
á	aþ
því	fpheþ
svo	aa
óyggjandi	lhenof
væri	svg3eþ
hvar	aa
húsið	nheng
hennar	fpvee
hafði	sfg3eþ
staðið	ssg
.	.

þótt	c
einstaka	lhfnof
gömul	lhfnsf
bárujárnshús	nhfn
stæðu	svg3fþ
enn	aa
innan	aa
um	ao
blokkir	nvfo
og	c
steinsteypt	lhfosf
hús	nhfo
úr	aþ
nútímanum	nkeþg
gat	sfg3eþ
ekkert	fohen
þeirra	fphfe
vísað	ssg
henni	fpveþ
veg	nkeo
;	;
yfir	ao
spor	nhfo
hennar	fpvee
höfðu	sfg3fþ
verið	ssg
lagðar	sþgvfn
stéttir	nvfn
úr	aþ
steypu	nveþ
,	,
og	c
upp	aa
úr	aþ
steypunni	nveþg
risu	sfg3fþ
háir	lkfnsf
húsgaflar	nkfn
eins	aa
og	c
vitar	nkfn
vakandi	slg
yfir	aþ
breiðum	lhfþsf
bílastæðum	nhfþ
og	c
við	ao
kantana	nkfog
skartaði	sfg3eþ
aðflutt	lhensf
hraungrjót	nhen
í	aþ
hleðslum	nvfþ
sánum	lvfþsf
blómjurtum	nvfþ
.	.

enginn	foken
rabarbari	nken
eða	c
rófugarður	nken
í	aþ
sífelldri	lveþsf
hættu	nveþ
frá	aþ
uppivöðslusömum	lkeþsf
njólanum	nkeþg
,	,
hvergi	aa
breiður	nvfn
af	aþ
hvönn	nveþ
eða	c
baldursbrá	nveþ
né	c
óreiðugras	nhen
sem	ct
ætlaði	sfg3eþ
allt	foheo
að	cn
kaffæra	sng
,	,
sagði	sfg3eþ
amma	nven
hennar	fpvee
.	.

hvergi	aa
tveggjahæða	lhenof
timburhús	nhen
með	aþ
rauðri	lveþsf
bárujárnsklæðningu	nveþ
.	.

farið	ssg
,	,
hrunið	ssg
.	.

og	c
hafði	sfg3eþ
tekið	ssg
með	aþ
sér	fpheþ
í	aþ
fallinu	nheþg
allar	fovfo
minningar	nvfo
um	ao
hana	fpveo
.	.

það	fphen
var	sfg3eþ
ekki	aa
fyrr	aam
en	c
Teddi	nken-s
sagði	sfg3eþ
að	c
hún	fpven
hlyti	svg3eþ
að	cn
hafa	sng
haft	ssg
fallegt	lheosf
útsýni	nheo
hér	aa
á	aþ
holtinu	nheþg
sem	ct
gamli	lkenvf
tíminn	nkeng
kom	sfg3eþ
aftur	aa
.	.

útsýni	nhen
?	?

hún	fpven
neytti	sfg3eþ
ýtrustu	lkfeve
krafta	nkfe
til	ae
að	cn
hátta	sng
sig	fpveo
og	c
skríða	sng
undir	ao
sæng	nveo
.	.

hún	fpven
breiddi	sfg3eþ
upp	aa
fyrir	ao
höfuð	nheo
og	c
reyndi	sfg3eþ
að	cn
útiloka	sng
glauminn	nkeog
að	aa
neðan	aa
frá	aþ
hlustum	nvfþ
sínum	fevfþ
.	.

en	c
það	fphen
var	sfg3eþ
engu	foheþ
líkara	lhenvm
en	c
hún	fpven
væri	svg3eþ
með	ao
magnara	nkeo
undir	aþ
sænginni	nveþg
.	.

hún	fpven
bylti	sfg3eþ
sér	fpveþ
og	c
velti	sfg3eþ
því	fpheþ
fyrir	aþ
sér	fpveþ
,	,
hvort	c
dætur	nvfn
hennar	fpvee
væru	svg3fþ
líka	aa
vaknaðar	sþgvfn
og	c
að	cn
bylta	sng
sér	fpvfþ
.	.

kannski	aa
voru	sfg3fþ
þær	fpvfn
að	cn
bíða	sng
eftir	aþ
að	c
hún	fpven
tæki	svg3eþ
forystu	nveo
fyrir	aþ
sveit	nveþ
uppvakinna	lvfesf
kvenna	nvfe
af	aþ
værum	lkeþsf
blundi	nkeþ
.	.

nei	au
þær	fpvfn
yrðu	svg3fþ
bara	aa
hlægilegar	lvfnsf
.	.

fjórir	tfkfn
náttkjólar	nkfn
og	c
hennar	fpvee
rifinn	sþgken
.	.

aldrei	aa
skyldi	svg3eþ
hún	fpven
láta	sng
nokkurn	fokeo
mann	nkeo
fá	sng
grun	nkeo
um	ao
það	fpheo
,	,
að	c
hún	fpven
ætti	svg3eþ
ekki	aa
lengur	aam
almennilegan	lkeosf
náttkjól	nkeo
.	.

fyrir	aþ
fáum	lhfþsf
árum	nhfþ
höfðu	sfg3fþ
skemmtilegir	lkfnsf
náttkjólar	nkfn
verið	ssg
aðalsmerki	nhen
hennar	fpvee
í	aþ
rúminu	nheþg
.	.

nú	aa
heyrðu	sfg3fþ
þeir	fpkfn
fortíðinni	nveþg
til	aa
.	.

hún	fpven
svipti	sfg3eþ
ofan	aa
af	aþ
sér	fpveþ
sænginni	nveþg
og	c
gekk	sfg3eþ
að	aþ
speglinum	nkeþg
í	aþ
snyrtiborðinu	nheþg
.	.

hún	fpven
þekkti	sfg3eþ
varla	aa
þessa	faveo
konu	nveo
,	,
sem	ct
horfði	sfg3eþ
á	aa
móti	aþ
henni	fpveþ
í	aþ
gatslitnum	lkeþsf
náttkjól	nkeþ
.	.

hún	fpven
stakk	sfg3eþ
fingri	nkeþ
í	ao
gatið	nheog
yfir	aþ
brjóstinu	nheþg
og	c
sleit	sfg3eþ
út	aa
úr	aþ
því	fpheþ
.	.

svona	aa
.	.

kannski	aa
ætti	svg3eþ
hún	fpven
að	cn
rífa	sng
upp	aa
í	ao
faldinn	nkeog
líka	aa
og	c
fara	sng
þannig	aa
niður	aa
.	.

gera	sng
Kristján	nkeo-s
klumsa	lkeoof
fyrir	ao
framan	aa
gestina	nkfog
.	.

hvað	fsheo
ætli	svg3en
nefndin	nveng
myndi	svg3eþ
segja	sng
?	?

hún	fpven
reif	sfg3eþ
kjólinn	nkeog
upp	aa
í	ao
nára	nkeo
og	c
rak	sfg3eþ
lærið	nheog
út	aa
í	ao
klaufina	nveog
.	.

myndi	svg3eþ
þetta	fahen
gera	sng
lukku	nveo
,	,
ef	c
hún	fpven
opinberaði	svg3eþ
svona	aa
gjaldþrot	nheo
þeirra	fphfe
og	c
niðurlægingu	nveo
?	?

hún	fpven
heyrði	sfg3eþ
bíl	nkeo
stöðvaðan	sþgkeo
fyrir	aa
utan	aa
.	.

voru	sfg3fþ
fleiri	lkfnvm
gestir	nkfn
að	cn
koma	sng
?	?

útidyrnar	nvfng
voru	sfg3fþ
opnaðar	sþgvfn
.	.

-	-
var	sfg3eþ
það	fphen
að	cn
fara	sng
?	?

hún	fpven
gekk	sfg3eþ
út	aa
að	aþ
glugganum	nkeþg
og	c
sá	sfg3eþ
Kristján	nkeo-s
og	c
Berg	nkeo-s
fara	sng
saman	aa
út	aa
að	aþ
bílnum	nkeþg
.	.

Kristján	nken-s
var	sfg3eþ
á	aþ
skyrtunni	nveþg
.	.

hvað	fsheo
var	sfg3eþ
maðurinn	nkeng
að	cn
hugsa	sng
?	?

ætlaði	sfg3eþ
hann	fpken
að	cn
fara	sng
frá	aþ
ókunnugu	lheþsf
fólki	nheþ
í	aþ
húsinu	nheþg
?	?

var	sfg3eþ
hann	fpken
ekki	aa
með	aþ
réttu	lheþsf
ráði	nheþ
?	?

enn	aa
einu	tfheþ
sinni	nheþ
helltist	sfm3eþ
yfir	ao
hana	fpveo
reiðin	nveng
í	ao
garð	nkeo
þessa	fakee
drukkna	lkeevf
manns	nkee
,	,
sem	ct
hún	fpven
deildi	sfg3eþ
með	aþ
lífi	nheþ
sínu	feheþ
.	.

hvert	aa
hélt	sfg3eþ
hann	fpken
að	c
hann	fpken
kæmist	svm3eþ
?	?

nú	aa
skyldi	svg3eþ
hún	fpven
stöðva	sng
hann	fpkeo
.	.

hann	fpken
var	sfg3eþ
búinn	lkensf
að	cn
lofa	sng
að	cn
vera	sng
heima	aa
á	ao
morgun	nkeo
og	c
passa	sng
heimilið	nheog
og	c
litlu	lveovf
Guðrúnu	nveo-s
og	c
hann	fpken
skyldi	svg3eþ
fá	sng
að	cn
standa	sng
við	ao
það	fpheo
.	.

hann	fpken
vissi	sfg3eþ
að	c
hún	fpven
hafði	sfg3eþ
tekið	ssg
að	aþ
sér	fpveþ
fyrir	aþ
löngu	lheþsf
að	cn
vera	sng
fararstjóri	nken
í	aþ
skíðaferðinni	nveþg
á	aþ
vegum	nkfþ
skólans	nkeeg
á	ao
föstudaginn	nkeog
langa	lkeovf
.	.

hún	fpven
fengi	svg3eþ
tvöfalda	lveosf
greiðslu	nveo
fyrir	ao
það	fpheo
.	.

hún	fpven
hélt	sfg3eþ
það	fphen
veitti	sfg3eþ
ekki	aa
af	aþ
aurunum	nkfþg
.	.

hún	fpven
var	sfg3eþ
komin	sþgven
í	ao
slopp	nkeo
,	,
en	c
sá	sfg3eþ
ekki	aa
að	c
þeir	fpkfn
ætluðu	svg3fþ
með	aþ
bílnum	nkeþg
.	.

bankastjórinn	nkeng
sat	sfg3eþ
að	aþ
vísu	lheþsf
hálfur	lkensf
inni	aa
í	aþ
framsætinu	nheþg
,	,
en	c
Kristján	nken-s
stóð	sfg3eþ
og	c
hélt	sfg3eþ
hurðinni	nveþg
opinni	lveþsf
.	.

ætlaði	sfg3eþ
Bergur	nken-s
bara	aa
að	cn
fara	sng
?	?

nei	au
nú	aa
sá	sfg3eþ
hún	fpven
hann	fpkeo
taka	sng
við	aþ
flösku	nveþ
af	aþ
bílstjóranum	nkeþg
,	,
sem	ct
hlaut	sfg3eþ
að	cn
hafa	sng
sagt	ssg
eitthvað	foheo
fyndið	lheosf
því	fpheþ
þeir	fpkfn
ráku	sfg3fþ
báðir	fokfn
upp	aa
roknahlátur	nkeo
og	c
slöguðu	sfg3fþ
þarnæst	aa
með	aþ
óhljóðum	nhfþ
heim	aa
að	aþ
húsinu	nheþg
aftur	aa
.	.

þegar	c
þeir	fpkfn
komu	sfg3fþ
inn	aa
kvað	sfg3eþ
við	aa
gleðisöngur	nken
frá	aþ
gestunum	nkfþg
sem	ct
inni	aa
voru	sfg3fþ
og	c
hún	fpven
gerði	sfg3eþ
sér	fpveþ
ljóst	lheosf
að	c
partíið	nheng
var	sfg3eþ
rétt	aa
að	cn
byrja	sng
.	.

hún	fpven
skreið	sfg3eþ
aftur	aa
upp	aa
í	aa
.	.

nei	au
,	,
hún	fpven
myndi	svg3eþ
ekki	aa
gera	sng
þessu	faheþ
dóti	nheþ
það	fpheo
til	ae
geðs	nhee
að	cn
missa	sng
stjórn	nveo
á	aþ
skapi	nheþ
sínu	feheþ
fyrir	ao
framan	aa
það	fpheo
.	.

fólk	nhen
,	,
sem	ct
át	sfg3eþ
á	ao
kostnað	nkeo
ríkissjóðs	nkee
og	c
drakk	sfg3eþ
á	ao
kostnað	nkeo
bankanna	nkfeg
,	,
skyldi	svg3eþ
ekki	aa
fá	sng
þá	faveo
ánægju	nveo
í	ao
ábæti	nkeo
að	cn
sjá	sng
hana	fpveo
hamslausa	lveosf
,	,
svitastorkna	lveosf
og	c
berfætta	lveosf
um	ao
miðja	lveosf
nótt	nveo
í	aþ
húsi	nheþ
,	,
sem	ct
hún	fpven
átti	sfg3eþ
víst	aa
ekki	aa
lengur	aam
.	.

hún	fpven
skyldi	svg3eþ
halda	sng
aftur	aa
af	aþ
sér	fpveþ
.	.

enda	c
átti	sfg3eþ
hún	fpven
varla	aa
margra	lkfesf
kosta	nkfe
völ	nveo
,	,
þegar	c
betur	aam
var	sfg3eþ
að	aa
gáð	sþghen
.	.

bankinn	nkeng
átti	sfg3eþ
stærstu	lveove
kröfuna	nveog
í	ao
húsið	nheog
.	.

bankinn	nkeng
átti	sfg3eþ
húsið	nheog
.	.

og	c
bankastjórinn	nkeng
