önnur	foven
sigrast	snm
á	aþ
líkanhyggjunni	nveþg
og	c
því	fpheþ
öllu	foheþ
væri	svg3eþ
ekki	aa
bara	aa
að	cn
efla	sng
launasjóð	nkeo
rithöfunda	nkfe
,	,
en	c
ég	fp1en
lét	sfg1eþ
mér	fp1eþ
nægja	sng
að	cn
skrifa	sng
spurninguna	nveog
í	ao
glósubókina	nveog
mína	feveo
og	c
þannig	aa
gat	sfg1eþ
ég	fp1en
varist	ssm
meðan	c
köld	lhfnsf
augu	nhfn
prófessorsins	nkeeg
fóru	sfg3fþ
um	ao
alla	foveo
stofuna	nveog
og	c
mældu	sfg3fþ
út	aa
háðslega	aa
þessar	favfo
fimmtán	tfvfo
hræður	nvfo
sem	ct
höfðu	sfg3fþ
villst	ssm
þarna	aa
inn	aa
til	ae
þess	fphee
að	cn
mennta	sng
sig	fpvfo
,	,
eða	c
vera	sng
á	aþ
námslánum	nhfþ
.	.

loks	aa
stóðst	sfm3eþ
kona	nven
um	ao
fimmtugt	lheosf
ekki	aa
lengur	aam
mátið	nheog
og	c
byrjaði	sfg3eþ
að	cn
segja	sng
að	c
ef	c
hún	fpven
mætti	svg3eþ
aðeins	aa
leggja	sng
orð	nheo
í	ao
belg	nkeo
,	,
aðeins	aa
fá	sng
að	cn
tala	sng
-	-
þá	aa
hef	sfg1en
ég	fp1en
verið	ssg
kennari	nken
nú	aa
í	ao
fimmtán	tfhfo
ár	nhfo
en	c
áður	aa
en	c
ég	fp1en
fór	sfg1eþ
að	cn
kenna	sng
hafði	sfg1eþ
ég	fp1en
afskaplega	aa
gaman	nheo
af	aþ
því	fpheþ
að	cn
lesa	sng
bækur	nvfo
,	,
en	c
maðurinn	nkeng
minn	feken
er	sfg3en
einmitt	aa
mikill	lkensf
bókamaður	nken
og	c
við	fp1fn
hjónin	nhfng
bæði	fohfn
,	,
svo	aa
ég	fp1en
dreif	sfg1eþ
mig	fp1eo
hingað	aa
og	c
ég	fp1en
er	sfg1en
afskaplega	aa
spennt	lvensf
,	,
en	c
ég	fp1en
verð	sfg1en
bara	aa
að	cn
segja	sng
eins	aa
og	c
er	sfg3en
að	c
reynsla	nven
mín	feven
af	aþ
kennslu	nveþ
er	sfg3en
svo	aa
afskaplega	aa
misjöfn	lvensf
,	,
blessuð	lhfnsf
börnin	nhfng
,	,
jájá	au
,	,
og	c
finnst	sfm3en
þér	fp2eþ
þá	aa
ekki	aa
að	c
verkefni	nhen
bókmenntafræðinnar	nveeg
sé	svg3en
bara	aa
að	c
...	...
-	-
og	c
við	fp1fn
hin	fahfn
sátum	sfg1fþ
fýluleg	lhfnsf
undir	aþ
þessu	faheþ
en	c
kennarinn	nkeng
kinkaði	sfg3eþ
áhugasamur	lkensf
og	c
uppörvandi	lkenof
kolli	nkeþ
.	.

þau	fphfn
höfðu	sfg3fþ
fundið	ssg
hvort	fohen
annað	foheo
.	.

blaðurskjóðurnar	nvfng
.	.

hann	fpken
hafði	sfg3eþ
sem	c
sé	svg3en
samið	ssg
skáldsögur	nvfo
og	c
var	sfg3eþ
gefinn	lkensf
fyrir	ao
launasjóð	nkeo
rithöfunda	nkfe
og	c
orð	nhfo
eins	aa
og	c
horngrýtis	nhee
.	.

hann	fpken
hét	sfg3eþ
Unnar	nken-s
Haraldsson	nken-s
og	c
kallaði	sfg3eþ
sig	fpkeo
þegar	c
hann	fpken
var	sfg3eþ
að	cn
byrja	sng
sem	c
atómskáld	nhen
Unnar	nkeo-s
Hara	nkeo-s
,	,
en	c
var	sfg3eþ
eftir	ao
það	fpheo
alltaf	aa
kallaður	sþgken
Hari	nken-s
Hari	nken-s
út	aa
af	aþ
einhverjum	fokeþ
brandara	nkeþ
sem	ct
ég	fp1en
lærði	sfg1eþ
aldrei	aa
-	-
annað	fohen
uppnefni	nhen
var	sfg3eþ
líka	aa
Mata	nven-s
Hari	nven-s
.	.

ég	fp1en
hafði	sfg1eþ
lesið	ssg
tvær	tfvfo
fyrstu	lvfove
skáldsögurnar	nvfog
hans	fpkee
.	.

sú	faven
fyrsta	lvenve
var	sfg3eþ
frá	aþ
því	fpheþ
um	ao
1950	ta
og	c
fjallaði	sfg3eþ
um	ao
ungan	lkeosf
mann	nkeo
í	aþ
sveit	nveþ
og	c
hundinn	nkeog
hans	fpkee
og	c
einhverja	foveo
stelpu	nveo
sem	ct
var	sfg3eþ
kaupakona	nven
og	c
strákurinn	nkeng
var	sfg3eþ
hrifinn	lkensf
af	aþ
.	.

hún	fpven
var	sfg3eþ
alltaf	aa
eitthvað	fohen
að	cn
hoppa	sng
úti	aa
í	aþ
náttúrunni	nveþg
,	,
og	c
hann	fpken
að	cn
mæna	sng
á	ao
hana	fpveo
og	c
stundum	aa
fór	sfg3eþ
hann	fpken
að	cn
hoppa	sng
með	aþ
henni	fpveþ
eða	c
þau	fphfn
fóru	sfg3fþ
að	cn
tína	sng
ber	nhfo
eða	c
grös	nhfo
og	c
síðan	aa
að	cn
veltast	snm
uppi	aa
á	aþ
heyvagninum	nkeþg
,	,
en	c
meinið	nheng
var	sfg3eþ
að	c
hundurinn	nkeng
fór	sfg3eþ
þá	aa
alltaf	aa
að	cn
urra	sng
.	.

strákurinn	nkeng
skammaði	sfg3eþ
hundinn	nkeog
sem	ct
varð	sfg3eþ
svo	aa
hryggur	lkensf
að	c
hann	fpken
týndist	sfm3eþ
.	.

stelpan	nveng
fór	sfg3eþ
suður	aa
,	,
en	c
nóttina	nveog
áður	aa
kom	sfg3eþ
hún	fpven
í	ao
herbergi	nheo
stráksins	nkeeg
og	c
kartöflugrösin	nhfng
féllu	sfg3fþ
og	c
fossinn	nkeng
hrundi	sfg3eþ
fram	aa
af	aþ
klettinum	nkeþg
.	.

hafi	svg3en
hún	fpven
gert	ssg
hann	fpkeo
að	aþ
útlendingi	nkeþ
hér	aa
,	,
þá	aa
hlaut	sfg3eþ
hún	fpven
alla	foveo
tíð	nveo
að	cn
hafa	sng
verið	ssg
útlendingur	nken
þarna	aa
fyrir	aa
handan	aa
...	...
á	aþ
heimili	nheþ
þeirra	fphfe
.	.

var	sfg3eþ
það	fphen
ef	c
til	aa
vill	sfg3en
ástæðan	nveng
sem	ct
rak	sfg3eþ
hana	fpveo
hingað	aa
?	?

laust	aa
,	,
líkt	aa
og	c
hún	fpven
vildi	svg3eþ
biðja	sng
hann	fpkeo
fyrirgefningar	nvee
,	,
strauk	sfg3eþ
hún	fpven
hönd	nveo
hans	fpkee
og	c
fann	sfg3eþ
mýkt	nveo
í	ao
ætt	nveo
við	ao
mýkt	nveo
mosans	nkeeg
sem	ct
verndaði	sfg3eþ
án	ae
þess	fphee
þó	aa
að	cn
gruna	sng
hvað	fshen
undir	aa
bjó	sfg3eþ
.	.

og	c
hún	fpven
talaði	sfg3eþ
til	ae
hans	fpkee
í	aþ
hljóði	nheþ
:	:

láttu	sbg2en
mig	fp1eo
...	...
mér	fp1eþ
...	...
láttu	sbg2en
mér	fp1eþ
ekki	aa
kólna	sng
!	!

hún	fpven
hafði	sfg3eþ
ekki	aa
sagt	ssg
honum	fpkeþ
frá	aþ
verknum	nkeþg
fyrir	aþ
hjartanu	nheþg
.	.

þegar	c
hún	fpven
var	sfg3eþ
komin	sþgven
heim	aa
úr	aþ
skólanum	nkeþg
þótti	sfg3eþ
henni	fpveþ
með	aþ
ólíkindum	nhfþ
hvað	fshen
hún	fpven
hafði	sfg3eþ
brugðist	ssm
harkalega	aa
við	aa
og	c
auðvitað	aa
var	sfg3eþ
engin	foven
ástæða	nven
til	ae
að	cn
hleypa	sng
skelk	nkeþ
í	ao
Tedda	nkeo-s
.	.

samt	aa
rétt	lhensf
að	cn
leita	sng
læknis	nkee
og	c
láta	sng
athuga	sng
þetta	faheo
.	.

vitanlega	aa
kom	sfg3eþ
ekki	aa
annað	fohen
til	ae
greina	nvfe
en	c
ekki	aa
strax	aa
...	...
ekki	aa
fyrr	aam
en	c
...	...
aldrei	aa
að	cn
vita	sng
nema	c
hann	fpken
bannaði	svg3eþ
henni	fpveþ
að	cn
ferðast	snm
.	.

og	c
Teddi	nken-s
mundi	svg3eþ
áreiðanlega	aa
ekki	aa
taka	sng
í	ao
mál	nheo
að	c
hún	fpven
færi	svg3eþ
ef	c
hann	fpken
vissi	svg3eþ
þetta	faheo
.	.

hann	fpken
kenndi	sfg3eþ
lengur	aam
en	c
hún	fpven
þennan	fakeo
dag	nkeo
og	c
auk	ae
þess	fphee
þurftu	sfg3fþ
stúdentarnir	nkfng
oft	aa
að	cn
ná	sng
tali	nheþ
af	aþ
honum	fpkeþ
eftir	ao
fyrirlestrana	nkfog
.	.

hans	fpkee
var	sfg3eþ
því	aa
ekki	aa
von	nven
heim	aa
strax	aa
.	.

hann	fpken
mundi	svg3eþ
ekki	aa
einu	foheþ
sinni	nheþ
vita	sng
af	aþ
því	fpheþ
að	c
hún	fpven
hafði	sfg3eþ
komið	ssg
óvenjusnemma	aa
heim	aa
í	ao
dag	nkeo
.	.

samt	aa
beið	sfg3eþ
hún	fpven
hans	fpkee
með	aþ
óþreyju	nveþ
líkt	aa
og	c
ekkert	fohen
gæti	svg3eþ
lengur	aam
beðið	ssg
síns	fekee
tíma	nkee
.	.

hún	fpven
eigraði	sfg3eþ
út	aa
í	ao
garðinn	nkeog
til	ae
þess	fphee
að	cn
dreifa	sng
huganum	nkeþg
.	.

sá	sfg3eþ
að	c
arfinn	nkeng
hafði	sfg3eþ
þegar	aa
gert	ssg
sig	fpkeo
heimakominn	lkeosf
hjá	aþ
gulum	lvfþsf
,	,
rauðum	lvfþsf
og	c
bláum	lvfþsf
breiðum	nvfþ
túlípana	nkfe
og	c
hýasinta	nvfe
sem	ct
stóðu	sfg3fþ
í	aþ
skipulegum	lvfþsf
röðum	nvfþ
hjá	aþ
sólstéttinni	nveþg
.	.

hún	fpven
yrði	svg3eþ
að	cn
fara	sng
að	cn
reyta	sng
þótt	c
hún	fpven
hefði	svg3eþ
aldrei	aa
undan	aa
.	.

illgresið	nheng
spratt	sfg3eþ
alltaf	aa
best	aae
.	.

eiginlega	aa
var	sfg3eþ
þessi	faken
arfi	nken
eina	lhenvf
ágreiningsefni	nhen
þeirra	fphfe
Tedda	nkee-s
.	.

hann	fpken
skildi	sfg3eþ
ekki	aa
þessa	faveo
leti	nveo
hennar	fpvee
við	ao
að	cn
uppræta	sng
illgresið	nheog
.	.

tregðu	nveo
,	,
kallaði	sfg3eþ
hann	fpken
það	fpheo
.	.

sér	fpveþ
til	ae
afsökunar	nvee
sagði	sfg3eþ
hún	fpven
að	c
náttúran	nveng
hefði	svg3eþ
þetta	faheo
svona	aa
-	-
enginn	foken
reytti	svg3eþ
þar	aa
!	!

og	c
hann	fpken
svaraði	sfg3eþ
að	c
í	aþ
óspilltri	lveþsf
náttúrunni	nveþg
væri	svg3eþ
ekkert	fohen
til	aa
sem	ct
héti	svg3eþ
illgresi	nhen
því	fpheþ
að	c
náttúran	nveng
veldi	svg3eþ
sjálf	fbven
tegundirnar	nvfog
og	c
raðaði	svg3eþ
þeim	fpvfþ
saman	aa
.	.

hún	fpven
reyndi	sfg3eþ
svo	aa
sem	aa
að	cn
halda	sng
í	aþ
horfinu	nheþg
hér	aa
framanvert	aa
við	ao
húsið	nheog
.	.

öðru	foheþ
máli	nheþ
gegndi	sfg3eþ
um	ao
bakgarðinn	nkeog
.	.

þar	aa
hafði	sfg3eþ
hún	fpven
alveg	aa
gefist	ssm
upp	aa
.	.

í	aþ
gömlum	lkeþsf
jurtagarði	nkeþ
sem	ct
hún	fpven
hafði	sfg3eþ
gefist	ssm
upp	aa
við	ao
að	cn
rækta	sng
undir	aþ
þéttu	lheþsf
gerði	nheþ
af	aþ
granateplarunnum	nkfþ
óx	sfg3eþ
arfinn	nkeng
villt	aa
og	c
stjórnlaust	aa
,	,
stönglarnir	nkfng
flæktir	lkfnsf
saman	aa
í	aþ
eilífum	lhfþsf
slagsmálum	nhfþ
,	,
lögðust	sfm3fþ
hver	foken
á	ao
annan	fokeo
uns	c
forhertir	lkfnsf
sigurvegararnir	nkfng
blómstruðu	sfg3fþ
á	aþ
miðju	lheþsf
sumri	nheþ
svo	aa
jafnvel	aa
granni	nken
þeirra	fpkfe
,	,
ruslatunnan	nveng
,	,
fyrirvarð	sfg3eþ
sig	fpveo
.	.

hér	aa
í	aþ
þessum	fakeþ
arfagarði	nkeþ
var	sfg3eþ
uppgjöf	nven
hennar	fpvee
algjör	lvensf
.	.

ættum	svg1fþ
við	fp1fn
nú	aa
ekki	aa
að	cn
uppræta	sng
þennan	fakeo
óræktarblett	nkeo
í	ao
sumar	nheo
?	?

hann	fpken
var	sfg3eþ
kominn	sþgken
að	aþ
henni	fpveþ
í	aþ
arfagarðinum	nkeþg
miðjum	lkeþsf
án	ae
þess	fphee
hún	fpven
hefði	svg3eþ
heyrt	ssg
til	ae
hans	fpkee
.	.

hún	fpven
leit	sfg3eþ
upp	aa
.	.

mér	fp1eþ
var	sfg3eþ
að	cn
detta	sng
í	ao
hug	nkeo
að	cn
fara	sng
til	ae
Íslands	nhee-s
í	ao
sumar	nheo
,	,
svaraði	sfg3eþ
hún	fpven
.	.

hann	fpken
varð	sfg3eþ
hissa	lkenof
.	.

það	fphen
leyndi	sfg3eþ
sér	fpheþ
ekki	aa
.	.

og	c
ekki	aa
nema	c
von	nven
þetta	fahen
kæmi	svg3eþ
flatt	aa
upp	aa
á	ao
hann	fpkeo
.	.

hafði	sfg3eþ
áreiðanlega	aa
búist	ssm
við	aþ
öllu	foheþ
öðru	foheþ
en	c
þessu	faheþ
.	.

hún	fpven
hafði	sfg3eþ
verið	ssg
of	aa
fljót	lvensf
á	aþ
sér	fpveþ
.	.

hún	fpven
hefði	svg3eþ
átt	ssg
að	cn
búa	sng
hann	fpkeo
betur	aam
undir	ao
þetta	faheo
til	ae
þess	fphee
að	c
hann	fpken
færi	svg3eþ
ekki	aa
að	cn
spyrja	sng
.	.

en	c
hann	fpken
spurði	sfg3eþ
einskis	fohee
og	c
ekki	aa
vissi	sfg3eþ
hún	fpven
hvaða	fsvfn
hugsanir	nvfn
flugu	sfg3fþ
um	ao
hug	nkeo
hans	fpkee
en	c
eftir	ao
stundarþögn	nveo
sagði	sfg3eþ
hann	fpken
að	c
sér	fpkeþ
litist	svm3eþ
ljómandi	aa
vel	aa
á	ao
að	c
hún	fpven
ætlaði	svg3eþ
nú	aa
loksins	aa
að	cn
sýna	sng
honum	fpkeþ
bernskuslóðirnar	nvfog
.	.

hún	fpven
leit	sfg3eþ
snöggt	aa
undan	aa
.	.

sýna	sng
honum	fpkeþ
?	?

hún	fpven
hafði	sfg3eþ
ekki	aa
hugsað	ssg
sér	fpveþ
...	...
það	fphen
var	sfg3eþ
einmitt	aa
hann	fpken
sem	ct
mátti	sfg3eþ
ekki	aa
sjá	sng
...	...

hún	fpven
hafði	sfg3eþ
ekki	aa
hugsað	ssg
þetta	faheo
til	ae
enda	nkee
!	!

-	-
sko	aa
ég	fp1en
stend	sfg1en
ekki	aa
í	aþ
þessu	faheþ
.	.

-	-
gjörið	sfg2fn
þið	fp2fn
svo	aa
vel	aa
.	.

hér	aa
förum	sfg1fn
við	fp1fn
inn	aa
,	,
sagði	sfg3eþ
Guðrún	nven-s
og	c
opnaði	sfg3eþ
bíldyrnar	nvfog
.	.

þeim	fpvfþ
var	sfg3eþ
vísað	sþghen
til	ae
borðs	nhee
í	aþ
skrautlegum	lkeþsf
sal	nkeþ
með	aþ
nýlegum	lvfþsf
innréttingum	nvfþ
.	.

Særún	nven-s
sagðist	sfm3eþ
hafa	sng
lesið	ssg
viðtal	nheo
við	ao
arkitektinn	nkeog
,	,
sem	ct
hafði	sfg3eþ
séð	ssg
um	ao
endurnýjunina	nveog
.	.

það	fphen
var	sfg3eþ
ofsa	nkee
smart	lvenof
stelpa	nven
,	,
og	c
hún	fpven
var	sfg3eþ
viss	lvensf
um	ao
að	c
það	fphen
væri	svg3eþ
ábyggilega	aa
algjört	lhensf
æði	nhen
að	cn
vera	sng
innanhússarkitekt	nken
.	.

hana	fpveo
langaði	sfg3eþ
til	ae
þess	fphee
,	,
þegar	c
hún	fpven
væri	svg3eþ
búin	lvensf
með	ao
menntaskólann	nkeog
.	.

Guðrún	nven-s
var	sfg3eþ
fegin	lvensf
,	,
hvað	fshen
Særún	nven-s
var	sfg3eþ
fljót	lvensf
að	cn
jafna	sng
sig	fpveo
á	aþ
ólundinni	nveþg
,	,
þegar	c
þær	fpvfn
voru	sfg3fþ
sestar	sþmvfn
að	aþ
snæðingi	nkeþ
.	.

það	fphen
voru	sfg3fþ
fáir	lkfnsf
í	aþ
salnum	nkeþg
og	c
þær	fpvfn
fengu	sfg3fþ
fyrirtaks	nhee
þjónustu	nveo
.	.

Guðrún	nven-s
reyndi	sfg3eþ
að	cn
kingja	sng
vonbrigðum	nhfþ
sínum	fehfþ
með	aþ
víninu	nheþg
yfir	aþ
að	cn
hafa	sng
ekki	aa
fundið	ssg
Kristján	nkeo-s
og	c
kollega	nkfo
hans	fpkee
.	.

hún	fpven
drakk	sfg3eþ
ótæpilega	aa
með	aþ
matnum	nkeþg
og	c
skálaði	sfg3eþ
ótt	aa
og	c
títt	aa
við	ao
dætur	nvfo
sínar	fevfo
.	.

litla	lvenvf
Guðrún	nven-s
skemmti	sfg3eþ
sér	fpveþ
konunglega	aa
við	ao
að	cn
lyfta	sng
glasi	nheþ
á	aa
móti	aþ
móður	nveþ
sinni	feveþ
og	c
lét	sfg3eþ
klingja	sng
í	aa
.	.

hún	fpven
vissi	sfg3eþ
varla	aa
hvað	fsheo
hún	fpven
hafði	sfg3eþ
ætlað	ssg
sér	fpveþ
.	.

finna	sng
Kristján	nkeo-s
.	.

hlamma	sng
sér	fpveþ
niður	aa
við	ao
borðið	nheog
hjá	aþ
honum	fpkeþ
og	c
heimta	sng
mat	nkeo
fyrir	ao
sig	fpveo
og	c
dætur	nvfo
þeirra	fphfe
.	.

þær	fpvfn
væru	svg3fþ
líka	aa
svangar	lvfnsf
.	.

þær	fpvfn
vildu	sfg3fþ
líka	aa
láta	sng
bjóða	sng
sér	fpvfþ
í	ao
mat	nkeo
.	.

þær	fpvfn
neituðu	sfg3fþ
að	cn
láta	sng
loka	sng
sig	fpvfo
einar	lvfnsf
upp	aa
til	ae
fjalla	nhfe
með	ao
gjaldþrot	nheo
sitt	feheo
og	c
glötun	nveo
.	.

þær	fpvfn
væru	svg3fþ
líka	aa
fólk	nhen
,	,
sem	ct
vildi	sfg3eþ
vera	sng
innan	aa
um	ao
fólk	nheo
.	.

en	c
nú	aa
leið	sfg3eþ
henni	fpveþ
ósköp	nhfn
vel	aa
.	.

hún	fpven
brosti	sfg3eþ
við	aþ
þjóninum	nkeþg
til	ae
að	cn
láta	sng
hann	fpkeo
vita	sng
,	,
að	aþ
henni	fpveþ
líkaði	sfg3eþ
maturinn	nkeng
.	.

hún	fpven
reyndi	sfg3eþ
að	cn
tala	sng
við	ao
Særúnu	nveo-s
eins	aa
og	c
jafnöldru	nveo
sína	feveo
og	c
vinkonu	nveo
og	c
lagði	sfg3eþ
sig	fpveo
fram	aa
um	ao
að	cn
hlusta	sng
á	ao
hana	fpveo
segja	sng
frá	aa
.	.

og	c
hún	fpven
strauk	sfg3eþ
Heiðrúnu	nveþ-s
létt	aa
um	ao
vangann	nkeog
.	.

Heiðrún	nven-s
var	sfg3eþ
svo	aa
falleg	lvensf
.	.

en	c
ósköp	nhfn
hljóð	lvensf
.	.

hún	fpven
elskaði	sfg3eþ
dætur	nvfo
sínar	fevfo
svo	aa
undurheitt	aa
.	.

hvernig	aa
ætti	svg3eþ
hún	fpven
að	cn
geta	sng
sagt	ssg
þeim	fpvfþ
að	c
bráðum	aa
ættu	svg3fþ
þau	fphfn
ekkert	foheo
hús	nheo
.	.

hvergi	aa
heima	aa
.	.

misstu	svg3fþ
allt	foheo
.	.

hún	fpven
kallaði	sfg3eþ
á	ao
þjóninn	nkeog
og	c
bað	sfg3eþ
um	ao
reikninginn	nkeog
.	.

hún	fpven
skrifaði	sfg3eþ
ávísunina	nveog
hiklaust	aa
og	c
rétti	sfg3eþ
honum	fpkeþ
hana	fpveo
brosandi	lvenof
.	.

síðan	aa
stóðu	sfg3fþ
þær	fpvfn
upp	aa
og	c
gengu	sfg3fþ
frá	aþ
borðinu	nheþg
.	.

buðu	sfg3fþ
góða	lveosf
nótt	nveo
.	.

Guðrún	nven-s
lá	sfg3eþ
á	aþ
rúminu	nheþg
og	c
horfði	sfg3eþ
inn	aa
í	ao
rautt	lheosf
myrkur	nheo
augnalokanna	nhfeg
.	.

hún	fpven
hafði	sfg3eþ
ekið	ssg
heim	aa
,	,
án	ae
þess	fphee
að	c
dætur	nvfn
hennar	fpvee
gerðu	svg3fþ
athugasemd	nveo
við	ao
ástand	nheo
hennar	fpvee
.	.

Særún	nven-s
hafði	sfg3eþ
að	aþ
vísu	lheþsf
setið	ssg
stíf	lvensf
í	aþ
framsætinu	nheþg
með	ao
beltið	nheog
spennt	lheosf
og	c
nokkurn	fokeo
áhyggjusvip	nkeo
á	aþ
andlitinu	nheþg
,	,
en	c
hún	fpven
hafði	sfg3eþ
ekki	aa
farið	ssg
að	cn
segja	sng
henni	fpveþ
til	aa
.	.

Heiðrún	nven-s
og	c
litla	lvenvf
Guðrún	nven-s
sátu	sfg3fþ
þegjandi	lvfnof
í	aþ
aftursætinu	nheþg
.	.

sú	faven
litla	lvenvf
sofnaði	sfg3eþ
reyndar	aa
á	aþ
leiðinni	nveþg
heim	aa
.	.

þegar	c
hún	fpven
stöðvaði	sfg3eþ
bílinn	nkeog
við	ao
húsið	nheog
,	,
hafði	sfg3eþ
hún	fpven
fundið	ssg
reiðina	nveog
og	c
vonbrigðin	nhfog
þrengja	sng
sér	fphfþ
inn	aa
í	ao
brjóstið	nheog
á	aa
ný	aa
við	ao
að	cn
sjá	sng
hvergi	aa
ljós	nheo
.	.

-	-
pabbi	nken
er	sfg3en
ekki	aa
kominn	sþgken
heim	aa
,	,
sagði	sfg3eþ
Heiðrún	nven-s
lágt	aa
.	.

hún	fpven
hafði	sfg3eþ
tekið	ssg
litlu	lveovf
Guðrúnu	nveo-s
í	ao
fangið	nheog
og	c
borið	ssg
hana	fpveo
inn	aa
,	,
háttað	ssg
hana	fpveo
og	c
lagt	ssg
í	ao
rúmið	nheog
.	.

síðan	aa
hafði	sfg3eþ
hún	fpven
boðið	ssg
eldri	lvfþvm
systrunum	nvfþg
góða	lveosf
nótt	nveo
og	c
lagt	ssg
á	ao
flótta	nkeo
frá	aþ
þeim	fpvfþ
inn	aa
í	ao
svefnherbergið	nheog
.	.

hún	fpven
fleygði	sfg3eþ
sér	fpveþ
á	ao
rúmið	nheog
.	.

gróft	lhensf
rúmteppið	nheng
drakk	sfg3eþ
í	ao
sig	fpheo
flóðið	nheog
úr	aþ
augunum	nhfþg
og	c
kæfði	sfg3eþ
hljóðið	nheog
sem	ct
vildi	sfg3eþ
þrengja	sng
sér	fpheþ
upp	aa
um	ao
hálsinn	nkeog
.	.

hún	fpven
greip	sfg3eþ
hnefafylli	nveo
af	aþ
teppinu	nheþg
og	c
dró	sfg3eþ
það	fpheo
með	aþ
báðum	fovfþ
höndum	nvfþ
upp	aa
yfir	ao
höfuðið	nheog
.	.

hún	fpven
þrýsti	sfg3eþ
sér	fpveþ
niður	aa
í	ao
rúmið	nheog
,	,
reyndi	sfg3eþ
að	cn
sökkva	sng
sér	fpveþ
dýpra	aam
og	c
dýpra	aam
,	,
í	aa
gegnum	ao
gormana	nkfog
í	aþ
dýnunni	nveþg
,	,
niður	aa
á	ao
botn	nkeo
.	.

hún	fpven
vildi	sfg3eþ
hverfa	sng
.	.

hætta	sng
að	cn
heyrast	snm
.	.

ekki	aa
vera	sng
til	aa
.	.

æjú	au
,	,
vera	sng
til	aa
.	.

bara	aa
ekki	aa
svona	aa
.	.

hún	fpven
velti	sfg3eþ
sér	fpveþ
á	ao
bakið	nheog
.	.

hvað	fshen
gerðist	sfm3eþ
eiginlega	aa
?	?

af	aþ
hverju	fsheþ
var	sfg3eþ
nú	aa
svona	aa
komið	sþghen
?	?

hvenær	aa
fór	sfg3eþ
að	cn
halla	sng
undan	aþ
fæti	nkeþ
?	?

þegar	c
litla	lvenvf
Guðrún	nven-s
fæddist	sfm3eþ
?	?

þegar	c
Kristján	nken-s
gerðist	sfm3eþ
framkvæmdastjóri	nken
stéttarfélagsins	nheeg
?	?

þegar	c
þau	fphfn
fóru	sfg3fþ
að	cn
byggja	sng
og	c
fluttu	sfg3fþ
í	ao
þessa	faveo
afskekktu	lveovf
byggð	nveo
?	?

hún	fpven
keypti	sfg3eþ
rósóttar	lvfosf
síðar	lvfosf
